anio,mes,region,prov,BIODIESEL,energia_gen
2011,1,LITORAL,BUENOS AIRES,True,0.0
2011,1,LITORAL,BUENOS AIRES,True,0.0
2011,1,CUYO,MENDOZA,True,0.0
2011,1,CUYO,MENDOZA,True,0.0
2011,1,GRAN BS.AS.,BUENOS AIRES,True,0.0
2011,1,GRAN BS.AS.,BUENOS AIRES,True,0.0
2011,1,LITORAL,BUENOS AIRES,True,0.0
2011,2,LITORAL,BUENOS AIRES,True,0.0
2011,2,LITORAL,BUENOS AIRES,True,0.0
2011,2,CUYO,MENDOZA,True,0.0
2011,2,CUYO,MENDOZA,True,0.0
2011,2,GRAN BS.AS.,BUENOS AIRES,True,0.0
2011,2,GRAN BS.AS.,BUENOS AIRES,True,0.0
2011,2,LITORAL,BUENOS AIRES,True,0.0
2011,3,LITORAL,BUENOS AIRES,True,0.0
2011,3,LITORAL,BUENOS AIRES,True,0.0
2011,3,CUYO,MENDOZA,True,0.0
2011,3,CUYO,MENDOZA,True,0.0
2011,3,GRAN BS.AS.,BUENOS AIRES,True,0.0
2011,3,GRAN BS.AS.,BUENOS AIRES,True,0.0
2011,3,LITORAL,BUENOS AIRES,True,0.0
2011,4,LITORAL,BUENOS AIRES,True,0.0
2011,4,LITORAL,BUENOS AIRES,True,0.0
2011,4,CUYO,MENDOZA,True,0.0
2011,4,CUYO,MENDOZA,True,0.0
2011,4,GRAN BS.AS.,BUENOS AIRES,True,0.0
2011,4,GRAN BS.AS.,BUENOS AIRES,True,0.0
2011,4,LITORAL,BUENOS AIRES,True,0.0
2011,5,LITORAL,BUENOS AIRES,True,5.5
2011,5,LITORAL,BUENOS AIRES,True,0.0
2011,5,CUYO,MENDOZA,True,0.0
2011,5,CUYO,MENDOZA,True,0.0
2011,5,GRAN BS.AS.,BUENOS AIRES,True,0.0
2011,5,GRAN BS.AS.,BUENOS AIRES,True,0.0
2011,5,LITORAL,BUENOS AIRES,True,0.0
2011,6,LITORAL,BUENOS AIRES,True,6.3
2011,6,LITORAL,BUENOS AIRES,True,0.0
2011,6,CUYO,MENDOZA,True,0.0
2011,6,CUYO,MENDOZA,True,0.0
2011,6,GRAN BS.AS.,BUENOS AIRES,True,0.0
2011,6,GRAN BS.AS.,BUENOS AIRES,True,0.0
2011,6,LITORAL,BUENOS AIRES,True,0.0
2011,7,LITORAL,BUENOS AIRES,True,6.0
2011,7,LITORAL,BUENOS AIRES,True,1.1
2011,7,CUYO,MENDOZA,True,1.1
2011,7,CUYO,MENDOZA,True,1.5
2011,7,GRAN BS.AS.,BUENOS AIRES,True,1.4
2011,7,GRAN BS.AS.,BUENOS AIRES,True,1.3
2011,7,LITORAL,BUENOS AIRES,True,0.1
2011,8,LITORAL,BUENOS AIRES,True,3.4
2011,8,LITORAL,BUENOS AIRES,True,0.0
2011,8,CUYO,MENDOZA,True,0.3
2011,8,CUYO,MENDOZA,True,0.6
2011,8,GRAN BS.AS.,BUENOS AIRES,True,1.7
2011,8,GRAN BS.AS.,BUENOS AIRES,True,0.8
2011,8,LITORAL,BUENOS AIRES,True,0.0
2011,9,LITORAL,BUENOS AIRES,True,0.0
2011,9,LITORAL,BUENOS AIRES,True,0.3
