anio,mes,region,prov,BIOGAS,energia_gen
2012,5,GRAN BS.AS.,BUENOS AIRES,True,0.8
2012,6,GRAN BS.AS.,BUENOS AIRES,True,3.5
2012,7,GRAN BS.AS.,BUENOS AIRES,True,3.4
2012,8,GRAN BS.AS.,BUENOS AIRES,True,2.9
2012,9,GRAN BS.AS.,BUENOS AIRES,True,2.8
2012,10,GRAN BS.AS.,BUENOS AIRES,True,3.5
2012,10,GRAN BS.AS.,BUENOS AIRES,True,3.4
2012,11,GRAN BS.AS.,BUENOS AIRES,True,3.2
2012,11,GRAN BS.AS.,BUENOS AIRES,True,4.4
2012,12,GRAN BS.AS.,BUENOS AIRES,True,3.4
2012,12,GRAN BS.AS.,BUENOS AIRES,True,5.0
2013,1,GRAN BS.AS.,BUENOS AIRES,True,2.9
2013,1,GRAN BS.AS.,BUENOS AIRES,True,5.0
2013,2,GRAN BS.AS.,BUENOS AIRES,True,2.6
2013,2,GRAN BS.AS.,BUENOS AIRES,True,5.0
2013,3,GRAN BS.AS.,BUENOS AIRES,True,3.0
2013,3,GRAN BS.AS.,BUENOS AIRES,True,6.0
2013,4,GRAN BS.AS.,BUENOS AIRES,True,3.1
2013,4,GRAN BS.AS.,BUENOS AIRES,True,5.4
2013,5,GRAN BS.AS.,BUENOS AIRES,True,3.3
2013,5,GRAN BS.AS.,BUENOS AIRES,True,6.1
2013,6,GRAN BS.AS.,BUENOS AIRES,True,2.8
2013,6,GRAN BS.AS.,BUENOS AIRES,True,6.3
2013,7,GRAN BS.AS.,BUENOS AIRES,True,3.1
2013,7,GRAN BS.AS.,BUENOS AIRES,True,7.4
2013,8,GRAN BS.AS.,BUENOS AIRES,True,3.0
2013,8,GRAN BS.AS.,BUENOS AIRES,True,6.8
2013,9,GRAN BS.AS.,BUENOS AIRES,True,2.8
2013,9,GRAN BS.AS.,BUENOS AIRES,True,5.7
2013,10,GRAN BS.AS.,BUENOS AIRES,True,2.8
2013,10,GRAN BS.AS.,BUENOS AIRES,True,6.4
2013,11,GRAN BS.AS.,BUENOS AIRES,True,2.8
2013,11,GRAN BS.AS.,BUENOS AIRES,True,6.8
2013,12,GRAN BS.AS.,BUENOS AIRES,True,2.5
2013,12,GRAN BS.AS.,BUENOS AIRES,True,6.8
2014,1,GRAN BS.AS.,BUENOS AIRES,True,2.6
2014,1,GRAN BS.AS.,BUENOS AIRES,True,6.2
2014,2,GRAN BS.AS.,BUENOS AIRES,True,2.2
2014,2,GRAN BS.AS.,BUENOS AIRES,True,6.1
2014,3,GRAN BS.AS.,BUENOS AIRES,True,2.2
2014,3,GRAN BS.AS.,BUENOS AIRES,True,6.6
2014,4,GRAN BS.AS.,BUENOS AIRES,True,2.1
2014,4,GRAN BS.AS.,BUENOS AIRES,True,5.9
2014,5,GRAN BS.AS.,BUENOS AIRES,True,2.1
2014,5,GRAN BS.AS.,BUENOS AIRES,True,7.1
2014,6,GRAN BS.AS.,BUENOS AIRES,True,2.1
2014,6,GRAN BS.AS.,BUENOS AIRES,True,7.3
2014,7,GRAN BS.AS.,BUENOS AIRES,True,2.2
2014,7,GRAN BS.AS.,BUENOS AIRES,True,7.1
2014,8,GRAN BS.AS.,BUENOS AIRES,True,2.0
2014,8,GRAN BS.AS.,BUENOS AIRES,True,6.7
2014,9,GRAN BS.AS.,BUENOS AIRES,True,2.0
2014,9,GRAN BS.AS.,BUENOS AIRES,True,6.2
2014,10,GRAN BS.AS.,BUENOS AIRES,True,2.0
2014,10,GRAN BS.AS.,BUENOS AIRES,True,6.7
2014,11,GRAN BS.AS.,BUENOS AIRES,True,1.7
2014,11,GRAN BS.AS.,BUENOS AIRES,True,5.6
2014,12,GRAN BS.AS.,BUENOS AIRES,True,1.6
2014,12,GRAN BS.AS.,BUENOS AIRES,True,6.7
2015,1,GRAN BS.AS.,BUENOS AIRES,True,1.2
2015,1,GRAN BS.AS.,BUENOS AIRES,True,6.7
2015,2,GRAN BS.AS.,BUENOS AIRES,True,1.2
2015,2,GRAN BS.AS.,BUENOS AIRES,True,5.8
2015,3,GRAN BS.AS.,BUENOS AIRES,True,1.2
2015,3,GRAN BS.AS.,BUENOS AIRES,True,4.7
2015,4,GRAN BS.AS.,BUENOS AIRES,True,1.2
2015,4,GRAN BS.AS.,BUENOS AIRES,True,5.4
2015,5,GRAN BS.AS.,BUENOS AIRES,True,1.3
2015,5,GRAN BS.AS.,BUENOS AIRES,True,6.1
2015,6,GRAN BS.AS.,BUENOS AIRES,True,1.2
2015,6,GRAN BS.AS.,BUENOS AIRES,True,5.9
2015,7,GRAN BS.AS.,BUENOS AIRES,True,1.3
2015,7,GRAN BS.AS.,BUENOS AIRES,True,5.8
2015,8,GRAN BS.AS.,BUENOS AIRES,True,1.2
2015,8,GRAN BS.AS.,BUENOS AIRES,True,5.8
2015,9,GRAN BS.AS.,BUENOS AIRES,True,1.3
2015,9,GRAN BS.AS.,BUENOS AIRES,True,5.9
2015,10,GRAN BS.AS.,BUENOS AIRES,True,1.3
2015,10,GRAN BS.AS.,BUENOS AIRES,True,5.5
2015,11,GRAN BS.AS.,BUENOS AIRES,True,1.9
2015,11,GRAN BS.AS.,BUENOS AIRES,True,5.1
2015,12,GRAN BS.AS.,BUENOS AIRES,True,2.0
2015,12,GRAN BS.AS.,BUENOS AIRES,True,4.6
