anio,mes,region,prov,BIOMASA,energia_gen
2011,1,NOROESTE,TUCUMAN,True,0.0
2011,1,BUENOS AIRES,BUENOS AIRES,True,0.0
2011,1,NORESTE,MISIONES,True,6.9
2011,2,NOROESTE,TUCUMAN,True,0.0
2011,2,BUENOS AIRES,BUENOS AIRES,True,0.0
2011,2,NORESTE,MISIONES,True,6.0
2011,3,NOROESTE,TUCUMAN,True,0.0
2011,3,BUENOS AIRES,BUENOS AIRES,True,0.0
2011,3,NORESTE,MISIONES,True,6.6
2011,4,NOROESTE,TUCUMAN,True,0.0
2011,4,BUENOS AIRES,BUENOS AIRES,True,0.0
2011,4,NORESTE,MISIONES,True,6.1
2011,5,NOROESTE,TUCUMAN,True,0.0
2011,5,BUENOS AIRES,BUENOS AIRES,True,0.0
2011,5,NORESTE,MISIONES,True,7.5
2011,6,NOROESTE,TUCUMAN,True,0.0
2011,6,BUENOS AIRES,BUENOS AIRES,True,0.0
2011,6,NORESTE,MISIONES,True,6.6
2011,7,NOROESTE,TUCUMAN,True,0.6
2011,7,BUENOS AIRES,BUENOS AIRES,True,0.0
2011,7,NORESTE,MISIONES,True,6.6
2011,8,NOROESTE,TUCUMAN,True,2.8
2011,8,BUENOS AIRES,BUENOS AIRES,True,0.0
2011,8,NORESTE,MISIONES,True,7.9
2011,9,NOROESTE,TUCUMAN,True,3.2
2011,9,BUENOS AIRES,BUENOS AIRES,True,0.0
2011,9,NORESTE,MISIONES,True,7.8
2011,10,NOROESTE,TUCUMAN,True,1.7
2011,10,BUENOS AIRES,BUENOS AIRES,True,0.0
2011,10,NORESTE,MISIONES,True,7.6
2011,11,NOROESTE,TUCUMAN,True,0.0
2011,11,BUENOS AIRES,BUENOS AIRES,True,0.0
2011,11,NORESTE,MISIONES,True,5.6
2011,11,NOROESTE,SALTA,True,5.3
2011,12,NOROESTE,TUCUMAN,True,0.0
2011,12,BUENOS AIRES,BUENOS AIRES,True,0.0
2011,12,NORESTE,MISIONES,True,7.9
2011,12,NOROESTE,SALTA,True,0.8
2012,1,NOROESTE,TUCUMAN,True,0.0
2012,1,BUENOS AIRES,BUENOS AIRES,True,0.0
2012,1,NORESTE,MISIONES,True,1.8
2012,1,NOROESTE,SALTA,True,0.0
2012,2,NOROESTE,TUCUMAN,True,0.0
2012,2,BUENOS AIRES,BUENOS AIRES,True,0.0
2012,2,NORESTE,MISIONES,True,0.0
2012,2,NOROESTE,SALTA,True,0.1
2012,3,NOROESTE,TUCUMAN,True,0.0
2012,3,BUENOS AIRES,BUENOS AIRES,True,0.0
2012,3,NORESTE,MISIONES,True,3.6
2012,3,NOROESTE,SALTA,True,0.1
2012,4,NOROESTE,TUCUMAN,True,0.0
2012,4,BUENOS AIRES,BUENOS AIRES,True,0.0
2012,4,NORESTE,MISIONES,True,6.3
2012,4,NOROESTE,SALTA,True,0.0
2012,5,NOROESTE,TUCUMAN,True,0.0
2012,5,BUENOS AIRES,BUENOS AIRES,True,0.0
2012,5,NORESTE,MISIONES,True,7.6
2012,5,NOROESTE,SALTA,True,3.4
2012,6,NOROESTE,TUCUMAN,True,1.4
2012,6,BUENOS AIRES,BUENOS AIRES,True,0.0
2012,6,NORESTE,MISIONES,True,6.5
2012,6,NOROESTE,SALTA,True,6.1
2012,7,NOROESTE,TUCUMAN,True,1.9
2012,7,BUENOS AIRES,BUENOS AIRES,True,0.0
2012,7,NORESTE,MISIONES,True,6.8
2012,7,NOROESTE,SALTA,True,7.2
2012,8,NOROESTE,TUCUMAN,True,0.3
2012,8,BUENOS AIRES,BUENOS AIRES,True,0.0
2012,8,NORESTE,MISIONES,True,7.1
2012,8,NOROESTE,SALTA,True,2.9
2012,9,NOROESTE,TUCUMAN,True,1.1
2012,9,BUENOS AIRES,BUENOS AIRES,True,0.0
2012,9,NORESTE,MISIONES,True,6.8
2012,9,NOROESTE,SALTA,True,12.1
2012,10,NOROESTE,TUCUMAN,True,0.0
2012,10,BUENOS AIRES,BUENOS AIRES,True,0.0
2012,10,NORESTE,MISIONES,True,7.3
2012,10,NOROESTE,SALTA,True,11.7
2012,11,NOROESTE,TUCUMAN,True,0.0
2012,11,BUENOS AIRES,BUENOS AIRES,True,0.1
2012,11,NORESTE,MISIONES,True,6.4
2012,11,NOROESTE,SALTA,True,10.6
2012,12,NOROESTE,TUCUMAN,True,0.0
2012,12,BUENOS AIRES,BUENOS AIRES,True,0.0
2012,12,NORESTE,MISIONES,True,6.0
2012,12,NOROESTE,SALTA,True,1.9
2013,1,NOROESTE,TUCUMAN,True,0.0
2013,1,BUENOS AIRES,BUENOS AIRES,True,0.0
2013,1,NORESTE,MISIONES,True,6.4
2013,1,NOROESTE,SALTA,True,0.0
2013,2,NOROESTE,TUCUMAN,True,0.0
2013,2,BUENOS AIRES,BUENOS AIRES,True,0.0
2013,2,NORESTE,MISIONES,True,5.9
2013,2,NOROESTE,SALTA,True,0.0
2013,3,NOROESTE,TUCUMAN,True,0.0
2013,3,BUENOS AIRES,BUENOS AIRES,True,0.0
2013,3,NORESTE,MISIONES,True,6.3
2013,3,NOROESTE,SALTA,True,0.0
2013,4,NOROESTE,TUCUMAN,True,0.0
2013,4,BUENOS AIRES,BUENOS AIRES,True,0.0
2013,4,NORESTE,MISIONES,True,6.7
2013,4,NOROESTE,SALTA,True,0.0
2013,5,NOROESTE,TUCUMAN,True,0.0
2013,5,BUENOS AIRES,BUENOS AIRES,True,0.0
2013,5,NORESTE,MISIONES,True,5.9
2013,5,NOROESTE,SALTA,True,5.7
2013,6,NOROESTE,TUCUMAN,True,0.0
2013,6,BUENOS AIRES,BUENOS AIRES,True,0.0
2013,6,NORESTE,MISIONES,True,3.6
2013,6,NOROESTE,SALTA,True,11.7
2013,7,NOROESTE,TUCUMAN,True,1.3
2013,7,BUENOS AIRES,BUENOS AIRES,True,0.0
2013,7,NORESTE,MISIONES,True,6.4
2013,7,NOROESTE,SALTA,True,11.7
2013,8,NOROESTE,TUCUMAN,True,1.8
2013,8,BUENOS AIRES,BUENOS AIRES,True,0.0
2013,8,NORESTE,MISIONES,True,6.9
2013,8,NOROESTE,SALTA,True,6.6
2013,9,NOROESTE,TUCUMAN,True,1.9
2013,9,BUENOS AIRES,BUENOS AIRES,True,0.0
2013,9,NORESTE,MISIONES,True,7.1
2013,9,NOROESTE,SALTA,True,7.7
2013,10,NOROESTE,TUCUMAN,True,1.0
2013,10,BUENOS AIRES,BUENOS AIRES,True,0.0
2013,10,NORESTE,MISIONES,True,6.7
2013,10,NOROESTE,SALTA,True,7.3
2013,11,NOROESTE,TUCUMAN,True,0.0
2013,11,BUENOS AIRES,BUENOS AIRES,True,0.0
2013,11,NORESTE,MISIONES,True,5.1
2013,11,NOROESTE,SALTA,True,4.1
2013,12,NOROESTE,TUCUMAN,True,0.0
2013,12,BUENOS AIRES,BUENOS AIRES,True,0.0
2013,12,NORESTE,MISIONES,True,5.9
2013,12,NOROESTE,SALTA,True,0.0
2014,1,NOROESTE,TUCUMAN,True,0.0
2014,1,BUENOS AIRES,BUENOS AIRES,True,0.0
2014,1,NORESTE,MISIONES,True,5.9
2014,1,NOROESTE,SALTA,True,0.0
2014,2,NOROESTE,TUCUMAN,True,0.0
