anio,mes,region,prov,EOLICO,energia_gen
2011,1,NOROESTE,LA RIOJA,True,0.1
2011,1,PATAGONIA,CHUBUT,True,0.0
2011,1,BUENOS AIRES,BUENOS AIRES,True,0.0
2011,2,NOROESTE,LA RIOJA,True,0.6
2011,2,PATAGONIA,CHUBUT,True,0.0
2011,2,BUENOS AIRES,BUENOS AIRES,True,0.0
2011,3,NOROESTE,LA RIOJA,True,0.7
2011,3,PATAGONIA,CHUBUT,True,0.0
2011,3,BUENOS AIRES,BUENOS AIRES,True,0.0
2011,4,NOROESTE,LA RIOJA,True,0.7
2011,4,PATAGONIA,CHUBUT,True,0.0
2011,4,BUENOS AIRES,BUENOS AIRES,True,0.0
2011,5,NOROESTE,LA RIOJA,True,0.8
2011,5,PATAGONIA,CHUBUT,True,0.0
2011,5,BUENOS AIRES,BUENOS AIRES,True,0.0
2011,6,NOROESTE,LA RIOJA,True,1.2
2011,6,PATAGONIA,CHUBUT,True,0.0
2011,6,BUENOS AIRES,BUENOS AIRES,True,0.0
2011,7,NOROESTE,LA RIOJA,True,1.1
2011,7,PATAGONIA,CHUBUT,True,0.0
2011,7,BUENOS AIRES,BUENOS AIRES,True,0.0
2011,8,NOROESTE,LA RIOJA,True,0.4
2011,8,PATAGONIA,CHUBUT,True,0.0
2011,8,BUENOS AIRES,BUENOS AIRES,True,0.0
2011,9,NOROESTE,LA RIOJA,True,0.1
2011,9,PATAGONIA,CHUBUT,True,0.9
2011,9,BUENOS AIRES,BUENOS AIRES,True,0.0
2011,10,NOROESTE,LA RIOJA,True,0.1
2011,10,PATAGONIA,CHUBUT,True,1.3
2011,10,BUENOS AIRES,BUENOS AIRES,True,0.0
2011,11,NOROESTE,LA RIOJA,True,0.3
2011,11,PATAGONIA,CHUBUT,True,2.2
2011,11,BUENOS AIRES,BUENOS AIRES,True,0.0
2011,12,NOROESTE,LA RIOJA,True,0.6
2011,12,PATAGONIA,CHUBUT,True,1.9
2011,12,BUENOS AIRES,BUENOS AIRES,True,0.0
2011,12,PATAGONIA,CHUBUT,True,0.9
