anio,mes,region,prov,SOLAR,energia_gen
2011,1,CUYO,SAN JUAN,True,0.0
2011,2,CUYO,SAN JUAN,True,0.0
2011,3,CUYO,SAN JUAN,True,0.1
2011,4,CUYO,SAN JUAN,True,0.2
2011,5,CUYO,SAN JUAN,True,0.2
2011,6,CUYO,SAN JUAN,True,0.1
2011,7,CUYO,SAN JUAN,True,0.1
2011,8,CUYO,SAN JUAN,True,0.2
2011,9,CUYO,SAN JUAN,True,0.2
2011,10,CUYO,SAN JUAN,True,0.2
2011,11,CUYO,SAN JUAN,True,0.2
2011,12,CUYO,SAN JUAN,True,0.2
2012,1,CUYO,SAN JUAN,True,0.2
2012,2,CUYO,SAN JUAN,True,0.2
2012,3,CUYO,SAN JUAN,True,0.2
2012,4,CUYO,SAN JUAN,True,0.2
2012,5,CUYO,SAN JUAN,True,0.1
2012,5,CUYO,SAN JUAN,True,0.2
2012,5,CUYO,SAN JUAN,True,0.0
2012,5,CUYO,SAN JUAN,True,0.2
2012,6,CUYO,SAN JUAN,True,0.1
2012,6,CUYO,SAN JUAN,True,0.4
2012,6,CUYO,SAN JUAN,True,0.0
2012,6,CUYO,SAN JUAN,True,0.2
2012,7,CUYO,SAN JUAN,True,0.2
2012,7,CUYO,SAN JUAN,True,0.4
2012,7,CUYO,SAN JUAN,True,0.0
2012,7,CUYO,SAN JUAN,True,0.2
2012,8,CUYO,SAN JUAN,True,0.3
2012,8,CUYO,SAN JUAN,True,0.5
2012,8,CUYO,SAN JUAN,True,0.0
2012,8,CUYO,SAN JUAN,True,0.2
2012,9,CUYO,SAN JUAN,True,0.3
2012,9,CUYO,SAN JUAN,True,0.5
2012,9,CUYO,SAN JUAN,True,0.0
2012,9,CUYO,SAN JUAN,True,0.2
2012,10,CUYO,SAN JUAN,True,0.3
2012,10,CUYO,SAN JUAN,True,0.5
2012,10,CUYO,SAN JUAN,True,0.0
2012,10,CUYO,SAN JUAN,True,0.2
2012,11,CUYO,SAN JUAN,True,0.3
