anio,mes,region,prov,BIODIESEL,energia_gen
2011,1,5,0,True,0.0
2011,1,5,0,True,0.0
2011,1,3,9,True,0.0
2011,1,3,9,True,0.0
2011,1,4,0,True,0.0
2011,1,4,0,True,0.0
2011,1,5,0,True,0.0
2011,2,5,0,True,0.0
2011,2,5,0,True,0.0
2011,2,3,9,True,0.0
2011,2,3,9,True,0.0
2011,2,4,0,True,0.0
2011,2,4,0,True,0.0
2011,2,5,0,True,0.0
2011,3,5,0,True,0.0
2011,3,5,0,True,0.0
2011,3,3,9,True,0.0
2011,3,3,9,True,0.0
2011,3,4,0,True,0.0
2011,3,4,0,True,0.0
2011,3,5,0,True,0.0
2011,4,5,0,True,0.0
2011,4,5,0,True,0.0
2011,4,3,9,True,0.0
2011,4,3,9,True,0.0
2011,4,4,0,True,0.0
2011,4,4,0,True,0.0
2011,4,5,0,True,0.0
2011,5,5,0,True,5.5
2011,5,5,0,True,0.0
2011,5,3,9,True,0.0
2011,5,3,9,True,0.0
2011,5,4,0,True,0.0
2011,5,4,0,True,0.0
2011,5,5,0,True,0.0
2011,6,5,0,True,6.3
2011,6,5,0,True,0.0
2011,6,3,9,True,0.0
2011,6,3,9,True,0.0
2011,6,4,0,True,0.0
2011,6,4,0,True,0.0
2011,6,5,0,True,0.0
2011,7,5,0,True,6.0
2011,7,5,0,True,1.1
2011,7,3,9,True,1.1
2011,7,3,9,True,1.5
2011,7,4,0,True,1.4
2011,7,4,0,True,1.3
2011,7,5,0,True,0.1
2011,8,5,0,True,3.4
2011,8,5,0,True,0.0
2011,8,3,9,True,0.3
2011,8,3,9,True,0.6
2011,8,4,0,True,1.7
2011,8,4,0,True,0.8
2011,8,5,0,True,0.0
2011,9,5,0,True,0.0
2011,9,5,0,True,0.3
2011,9,3,9,True,0.0
2011,9,3,9,True,0.0
2011,9,4,0,True,0.0
2011,9,4,0,True,0.3
2011,9,5,0,True,0.0
2011,10,5,0,True,0.0
2011,10,5,0,True,0.0
2011,10,3,9,True,0.0
2011,10,3,9,True,0.0
2011,10,4,0,True,0.0
2011,10,4,0,True,0.0
2011,10,3,14,True,0.0
2011,10,5,0,True,0.0
2011,10,5,17,True,0.9
2011,11,5,0,True,0.0
2011,11,5,0,True,0.0
2011,11,3,9,True,0.0
2011,11,3,9,True,0.0
2011,11,4,0,True,0.0
2011,11,4,0,True,0.0
2011,11,3,14,True,0.0
2011,11,5,0,True,0.0
2011,11,5,17,True,0.0
2011,12,5,0,True,0.0
2011,12,5,0,True,0.0
2011,12,3,9,True,0.0
2011,12,3,9,True,0.0
2011,12,4,0,True,0.0
2011,12,4,0,True,0.0
2011,12,3,14,True,0.0
2011,12,5,0,True,0.0
2011,12,5,17,True,0.0
2012,1,5,0,True,0.0
2012,1,5,0,True,0.0
2012,1,3,9,True,0.0
2012,1,3,9,True,0.0
2012,1,4,0,True,0.0
2012,1,4,0,True,0.0
2012,1,4,0,True,67.0
2012,1,4,0,True,147.0
2012,1,3,14,True,0.6
2012,1,5,0,True,0.1
2012,1,5,17,True,0.0
2012,2,5,0,True,0.0
2012,2,5,0,True,0.0
2012,2,3,9,True,0.0
2012,2,3,9,True,0.0
2012,2,4,0,True,0.0
2012,2,4,0,True,0.0
2012,2,4,0,True,76.3
2012,2,4,0,True,11.1
2012,2,3,14,True,2.3
2012,2,5,0,True,0.0
2012,2,5,17,True,0.0
2012,3,5,0,True,0.0
2012,3,5,0,True,0.0
2012,3,3,9,True,0.0
2012,3,3,9,True,0.0
2012,3,4,0,True,0.0
2012,3,4,0,True,0.0
2012,3,4,0,True,68.7
2012,3,4,0,True,73.5
2012,3,3,14,True,1.6
2012,3,5,0,True,0.0
2012,3,5,17,True,0.0
2012,4,5,0,True,0.0
2012,4,5,0,True,0.0
2012,4,3,9,True,0.0
2012,4,3,9,True,0.0
2012,4,4,0,True,0.0
2012,4,4,0,True,0.0
2012,4,4,0,True,34.5
2012,4,4,0,True,136.5
2012,4,3,14,True,0.1
2012,4,5,0,True,0.0
2012,4,5,17,True,0.0
2012,5,5,0,True,0.0
2012,5,5,0,True,0.0
2012,5,3,9,True,0.0
2012,5,3,9,True,0.0
2012,5,4,0,True,0.0
2012,5,4,0,True,0.0
2012,5,4,0,True,65.2
2012,5,4,0,True,167.8
2012,5,3,14,True,0.0
2012,5,5,0,True,0.0
2012,5,5,17,True,0.0
2012,6,5,0,True,0.0
2012,6,5,0,True,0.0
2012,6,3,9,True,0.0
2012,6,3,9,True,0.0
2012,6,4,0,True,0.0
2012,6,4,0,True,0.0
2012,6,4,0,True,87.4
2012,6,4,0,True,148.4
2012,6,3,14,True,0.1
2012,6,5,0,True,0.0
2012,6,5,17,True,0.0
2012,7,5,0,True,0.0
2012,7,5,0,True,0.0
2012,7,3,9,True,0.0
2012,7,3,9,True,0.0
2012,7,4,0,True,0.0
2012,7,4,0,True,0.0
2012,7,4,0,True,82.9
2012,7,4,0,True,156.6
2012,7,3,14,True,1.2
2012,7,5,0,True,0.0
2012,7,5,17,True,0.0
2012,8,5,0,True,0.0
2012,8,5,0,True,0.0
2012,8,4,0,True,0.0
2012,8,4,0,True,0.0
2012,8,3,9,True,0.0
2012,8,3,9,True,0.0
2012,8,4,0,True,0.0
2012,8,4,0,True,0.0
2012,8,4,0,True,72.5
2012,8,4,0,True,161.0
2012,8,3,14,True,0.3
2012,8,5,0,True,0.1
2012,8,5,17,True,0.0
2012,9,5,0,True,0.0
2012,9,5,0,True,0.0
2012,9,4,0,True,0.0
2012,9,4,0,True,0.0
2012,9,3,9,True,0.0
2012,9,3,9,True,0.0
2012,9,4,0,True,0.0
2012,9,4,0,True,0.0
2012,9,4,0,True,67.6
2012,9,4,0,True,130.7
2012,9,3,14,True,0.0
2012,9,5,0,True,0.0
2012,9,5,17,True,0.0
2012,10,5,0,True,0.0
2012,10,5,0,True,0.0
2012,10,4,0,True,0.0
2012,10,4,0,True,0.0
2012,10,3,9,True,0.0
2012,10,3,9,True,0.0
2012,10,4,0,True,0.0
2012,10,4,0,True,0.0
2012,10,4,0,True,76.2
2012,10,4,0,True,138.8
2012,10,3,14,True,0.3
2012,10,3,14,True,0.4
2012,10,5,0,True,0.0
2012,10,5,17,True,0.0
2012,11,5,0,True,0.0
2012,11,5,0,True,0.0
2012,11,4,0,True,0.0
2012,11,4,0,True,0.0
2012,11,3,9,True,0.0
2012,11,3,9,True,0.0
2012,11,4,0,True,0.0
2012,11,4,0,True,0.0
2012,11,4,0,True,53.3
2012,11,4,0,True,124.9
2012,11,3,14,True,1.8
2012,11,3,14,True,1.6
2012,11,5,0,True,0.0
2012,11,5,17,True,0.0
2012,12,5,0,True,0.0
2012,12,5,0,True,0.0
2012,12,4,0,True,0.0
2012,12,4,0,True,0.0
2012,12,3,9,True,0.0
2012,12,3,9,True,0.0
2012,12,4,0,True,0.0
2012,12,4,0,True,0.0
2012,12,4,0,True,69.9
2012,12,4,0,True,114.9
2012,12,3,14,True,2.5
2012,12,3,14,True,2.4
2012,12,5,0,True,0.0
2012,12,5,17,True,0.0
2013,1,5,0,True,0.0
2013,1,5,0,True,0.0
2013,1,4,0,True,0.0
2013,1,4,0,True,0.0
2013,1,3,9,True,0.0
2013,1,3,9,True,0.0
2013,1,4,0,True,0.0
2013,1,4,0,True,0.0
2013,1,4,0,True,0.0
2013,1,4,0,True,0.0
2013,1,3,14,True,0.0
2013,1,3,14,True,0.0
2013,1,3,14,True,0.0
2013,1,5,0,True,0.0
2013,1,5,17,True,0.0
2013,2,5,0,True,0.0
2013,2,5,0,True,0.0
2013,2,4,0,True,0.0
2013,2,4,0,True,0.0
2013,2,3,9,True,0.0
2013,2,3,9,True,0.0
2013,2,4,0,True,0.0
2013,2,4,0,True,0.0
2013,2,4,0,True,0.0
2013,2,4,0,True,0.0
2013,2,3,14,True,0.0
2013,2,3,14,True,0.0
2013,2,3,14,True,0.0
2013,2,5,0,True,0.0
2013,2,5,17,True,0.0
2013,3,5,0,True,0.0
2013,3,5,0,True,0.0
2013,3,4,0,True,0.0
2013,3,4,0,True,0.0
2013,3,3,9,True,0.0
2013,3,3,9,True,0.0
2013,3,4,0,True,0.0
2013,3,4,0,True,0.0
2013,3,4,0,True,0.0
2013,3,4,0,True,0.0
2013,3,3,14,True,0.0
2013,3,3,14,True,0.0
2013,3,3,14,True,0.0
2013,3,5,0,True,0.0
2013,3,5,17,True,0.0
2013,4,5,0,True,0.0
2013,4,5,0,True,0.0
2013,4,4,0,True,0.0
2013,4,4,0,True,0.0
2013,4,3,9,True,0.0
2013,4,3,9,True,0.0
2013,4,4,0,True,0.0
2013,4,4,0,True,0.0
2013,4,4,0,True,0.0
2013,4,4,0,True,0.0
2013,4,3,14,True,0.0
2013,4,3,14,True,0.0
2013,4,3,14,True,0.0
2013,4,5,0,True,0.0
2013,4,5,17,True,0.0
2013,5,5,0,True,0.0
2013,5,5,0,True,0.0
2013,5,4,0,True,0.0
2013,5,4,0,True,0.0
2013,5,3,9,True,0.0
2013,5,3,9,True,0.0
2013,5,4,0,True,0.0
2013,5,4,0,True,0.0
2013,5,4,0,True,0.0
2013,5,4,0,True,0.0
2013,5,3,14,True,0.0
2013,5,3,14,True,0.0
2013,5,3,14,True,0.0
2013,5,5,0,True,0.0
2013,5,5,17,True,0.0
2013,6,5,0,True,0.0
2013,6,5,0,True,0.0
2013,6,4,0,True,0.0
2013,6,4,0,True,0.0
2013,6,3,9,True,0.0
2013,6,3,9,True,0.0
2013,6,4,0,True,0.0
2013,6,4,0,True,0.0
2013,6,4,0,True,0.0
2013,6,4,0,True,0.0
2013,6,3,14,True,0.0
2013,6,3,14,True,0.0
2013,6,3,14,True,0.0
2013,6,5,0,True,0.0
2013,6,5,17,True,0.0
2013,7,5,0,True,0.0
2013,7,5,0,True,0.0
2013,7,4,0,True,0.0
2013,7,4,0,True,0.0
2013,7,3,9,True,0.0
2013,7,3,9,True,0.0
2013,7,4,0,True,0.0
2013,7,4,0,True,0.0
2013,7,4,0,True,0.0
2013,7,4,0,True,0.0
2013,7,3,14,True,0.0
2013,7,3,14,True,0.0
2013,7,3,14,True,0.0
2013,7,5,0,True,0.0
2013,7,5,17,True,0.0
2013,8,5,0,True,0.0
2013,8,5,0,True,0.0
2013,8,4,0,True,0.0
2013,8,4,0,True,0.0
2013,8,3,9,True,0.0
2013,8,3,9,True,0.0
2013,8,4,0,True,0.0
2013,8,4,0,True,0.0
2013,8,4,0,True,0.0
2013,8,4,0,True,0.0
2013,8,3,14,True,0.0
2013,8,3,14,True,0.0
2013,8,3,14,True,0.0
2013,8,5,0,True,0.0
2013,8,5,17,True,0.0
2013,9,5,0,True,0.0
2013,9,5,0,True,0.0
2013,9,4,0,True,0.0
2013,9,4,0,True,0.0
2013,9,3,9,True,0.0
2013,9,3,9,True,0.0
2013,9,4,0,True,0.0
2013,9,4,0,True,0.0
2013,9,4,0,True,0.0
2013,9,4,0,True,0.0
2013,9,3,14,True,0.0
2013,9,3,14,True,0.0
2013,9,3,14,True,0.0
2013,9,5,0,True,0.0
2013,9,5,17,True,0.0
2013,10,5,0,True,0.0
2013,10,5,0,True,0.0
2013,10,4,0,True,0.0
2013,10,4,0,True,0.0
2013,10,3,9,True,0.0
2013,10,3,9,True,0.0
2013,10,4,0,True,0.0
2013,10,4,0,True,0.0
2013,10,4,0,True,0.0
2013,10,4,0,True,0.0
2013,10,3,14,True,0.0
2013,10,3,14,True,0.0
2013,10,3,14,True,0.0
2013,10,5,0,True,0.0
2013,10,5,17,True,0.0
2013,11,5,0,True,0.0
2013,11,5,0,True,0.0
2013,11,4,0,True,0.0
2013,11,4,0,True,0.0
2013,11,3,9,True,0.0
2013,11,3,9,True,0.0
2013,11,4,0,True,0.0
2013,11,4,0,True,0.0
2013,11,4,0,True,0.0
2013,11,4,0,True,0.0
2013,11,3,14,True,0.0
