anio,mes,region,prov,BIOGAS,energia_gen
2012,5,4,0,True,0.8
2012,6,4,0,True,3.5
2012,7,4,0,True,3.4
2012,8,4,0,True,2.9
2012,9,4,0,True,2.8
2012,10,4,0,True,3.5
2012,10,4,0,True,3.4
2012,11,4,0,True,3.2
2012,11,4,0,True,4.4
2012,12,4,0,True,3.4
2012,12,4,0,True,5.0
2013,1,4,0,True,2.9
2013,1,4,0,True,5.0
2013,2,4,0,True,2.6
2013,2,4,0,True,5.0
2013,3,4,0,True,3.0
2013,3,4,0,True,6.0
2013,4,4,0,True,3.1
2013,4,4,0,True,5.4
2013,5,4,0,True,3.3
2013,5,4,0,True,6.1
2013,6,4,0,True,2.8
2013,6,4,0,True,6.3
2013,7,4,0,True,3.1
2013,7,4,0,True,7.4
2013,8,4,0,True,3.0
2013,8,4,0,True,6.8
2013,9,4,0,True,2.8
2013,9,4,0,True,5.7
2013,10,4,0,True,2.8
2013,10,4,0,True,6.4
2013,11,4,0,True,2.8
2013,11,4,0,True,6.8
2013,12,4,0,True,2.5
2013,12,4,0,True,6.8
2014,1,4,0,True,2.6
2014,1,4,0,True,6.2
2014,2,4,0,True,2.2
2014,2,4,0,True,6.1
2014,3,4,0,True,2.2
2014,3,4,0,True,6.6
2014,4,4,0,True,2.1
2014,4,4,0,True,5.9
2014,5,4,0,True,2.1
2014,5,4,0,True,7.1
2014,6,4,0,True,2.1
2014,6,4,0,True,7.3
2014,7,4,0,True,2.2
2014,7,4,0,True,7.1
2014,8,4,0,True,2.0
2014,8,4,0,True,6.7
2014,9,4,0,True,2.0
2014,9,4,0,True,6.2
2014,10,4,0,True,2.0
2014,10,4,0,True,6.7
2014,11,4,0,True,1.7
2014,11,4,0,True,5.6
2014,12,4,0,True,1.6
2014,12,4,0,True,6.7
2015,1,4,0,True,1.2
2015,1,4,0,True,6.7
2015,2,4,0,True,1.2
2015,2,4,0,True,5.8
2015,3,4,0,True,1.2
2015,3,4,0,True,4.7
2015,4,4,0,True,1.2
2015,4,4,0,True,5.4
2015,5,4,0,True,1.3
2015,5,4,0,True,6.1
2015,6,4,0,True,1.2
2015,6,4,0,True,5.9
2015,7,4,0,True,1.3
2015,7,4,0,True,5.8
2015,8,4,0,True,1.2
2015,8,4,0,True,5.8
2015,9,4,0,True,1.3
2015,9,4,0,True,5.9
2015,10,4,0,True,1.3
2015,10,4,0,True,5.5
2015,11,4,0,True,1.9
2015,11,4,0,True,5.1
2015,12,4,0,True,2.0
2015,12,4,0,True,4.6
2016,1,4,0,True,1.8
2016,1,4,0,True,5.3
2016,2,4,0,True,1.4
2016,2,4,0,True,4.6
2016,3,4,0,True,1.5
2016,3,4,0,True,4.3
2016,4,4,0,True,2.2
2016,4,4,0,True,2.7
2016,5,4,0,True,2.6
2016,5,4,0,True,1.1
2016,6,4,0,True,2.2
2016,6,4,0,True,2.1
2016,7,4,0,True,2.1
2016,7,4,0,True,2.7
2016,8,4,0,True,1.7
2016,8,4,0,True,3.0
2016,9,4,0,True,1.7
2016,9,4,0,True,1.9
2016,10,4,0,True,2.2
2016,10,4,0,True,1.6
2016,11,4,0,True,1.5
2016,11,4,0,True,3.1
2016,12,4,0,True,1.3
2016,12,4,0,True,3.0
2017,1,4,0,True,0.9
2017,1,4,0,True,2.5
2017,2,4,0,True,0.7
2017,2,4,0,True,2.6
2017,3,4,0,True,0.8
2017,3,4,0,True,3.2
2017,4,4,0,True,0.2
2017,4,4,0,True,3.2
2017,5,4,0,True,0.5
2017,5,4,0,True,3.8
2017,6,4,0,True,0.5
2017,6,4,0,True,3.6
2017,7,1,4,True,0.2
2017,7,4,0,True,0.5
2017,7,4,0,True,4.2
2017,8,1,4,True,0.7
2017,8,4,0,True,0.5
2017,8,4,0,True,4.9
2017,8,1,15,True,0.0
2017,9,1,4,True,0.7
2017,9,4,0,True,0.8
2017,9,4,0,True,5.3
2017,9,1,15,True,0.1
2017,10,1,4,True,0.7
2017,10,4,0,True,0.5
2017,10,4,0,True,6.5
2017,10,1,15,True,0.0
2017,11,1,4,True,0.7
2017,11,4,0,True,0.3
2017,11,4,0,True,6.4
2017,11,5,17,True,0.5
2017,11,1,15,True,0.1
2017,12,1,4,True,0.8
2017,12,4,0,True,0.0
2017,12,4,0,True,6.4
2017,12,5,17,True,0.5
2017,12,1,15,True,0.1
2018,1,1,4,True,0.5
2018,1,4,0,True,0.0
2018,1,4,0,True,7.0
2018,1,5,17,True,0.7
2018,1,1,15,True,0.1
2018,2,1,4,True,0.2
2018,2,4,0,True,0.3
2018,2,4,0,True,5.3
2018,2,5,17,True,0.7
2018,2,1,15,True,0.1
2018,3,1,4,True,0.5
2018,3,4,0,True,1.6
2018,3,4,0,True,6.9
2018,3,5,17,True,0.9
2018,3,1,15,True,0.1
2018,4,1,4,True,0.7
2018,4,4,0,True,2.2
2018,4,4,0,True,7.4
2018,4,5,17,True,0.9
2018,4,1,15,True,0.2
2018,5,1,4,True,0.6
2018,5,4,0,True,3.8
2018,5,4,0,True,7.5
2018,5,5,17,True,0.5
2018,5,1,15,True,0.2
2018,6,1,4,True,0.7
2018,6,4,0,True,3.3
2018,6,4,0,True,7.4
2018,6,5,17,True,0.6
2018,6,1,15,True,0.2
2018,7,1,4,True,1.0
2018,7,4,0,True,3.2
2018,7,4,0,True,7.9
2018,7,5,17,True,0.9
2018,7,1,15,True,0.4
2018,8,1,4,True,1.2
2018,8,4,0,True,3.7
2018,8,4,0,True,7.4
2018,8,5,17,True,1.0
2018,8,1,15,True,0.3
2018,9,1,4,True,0.9
2018,9,1,4,True,0.3
2018,9,4,0,True,3.7
2018,9,4,0,True,7.3
2018,9,5,17,True,0.7
2018,9,1,15,True,0.3
2018,10,1,4,True,1.3
2018,10,1,4,True,0.8
2018,10,4,0,True,3.8
2018,10,4,0,True,7.9
2018,10,5,17,True,0.7
2018,10,1,15,True,0.3
2018,11,1,4,True,1.3
2018,11,1,4,True,0.5
2018,11,4,0,True,3.7
2018,11,4,0,True,7.5
2018,11,5,17,True,0.8
2018,11,1,15,True,0.3
2018,12,1,4,True,1.2
2018,12,1,4,True,0.6
2018,12,4,0,True,3.8
2018,12,4,0,True,8.0
2018,12,5,17,True,0.7
2018,12,1,15,True,0.4
2019,1,1,4,True,0.9
2019,1,1,4,True,0.6
2019,1,1,4,True,0.2
2019,1,4,0,True,3.9
2019,1,4,0,True,7.9
2019,1,5,17,True,0.6
2019,1,1,15,True,0.4
2019,2,1,4,True,1.2
2019,2,1,4,True,0.5
2019,2,1,4,True,0.6
2019,2,5,17,True,0.7
2019,2,0,0,True,0.2
2019,2,4,0,True,3.5
2019,2,4,0,True,6.8
2019,2,5,17,True,0.6
2019,2,1,15,True,0.4
2019,3,5,17,True,4.6
2019,3,1,4,True,1.5
2019,3,1,4,True,0.7
2019,3,1,4,True,0.8
2019,3,0,0,True,1.1
2019,3,4,0,True,4.0
2019,3,4,0,True,7.5
2019,3,5,17,True,0.8
2019,3,1,15,True,0.4
2019,4,5,17,True,4.3
2019,4,1,4,True,1.4
2019,4,1,4,True,0.7
