anio,mes,region,prov,BIOMASA,energia_gen
2011,1,7,19,True,0.0
2011,1,0,0,True,0.0
2011,1,6,10,True,6.9
2011,2,7,19,True,0.0
2011,2,0,0,True,0.0
2011,2,6,10,True,6.0
2011,3,7,19,True,0.0
2011,3,0,0,True,0.0
2011,3,6,10,True,6.6
2011,4,7,19,True,0.0
2011,4,0,0,True,0.0
2011,4,6,10,True,6.1
2011,5,7,19,True,0.0
2011,5,0,0,True,0.0
2011,5,6,10,True,7.5
2011,6,7,19,True,0.0
2011,6,0,0,True,0.0
2011,6,6,10,True,6.6
2011,7,7,19,True,0.6
2011,7,0,0,True,0.0
2011,7,6,10,True,6.6
2011,8,7,19,True,2.8
2011,8,0,0,True,0.0
2011,8,6,10,True,7.9
2011,9,7,19,True,3.2
2011,9,0,0,True,0.0
2011,9,6,10,True,7.8
2011,10,7,19,True,1.7
2011,10,0,0,True,0.0
2011,10,6,10,True,7.6
2011,11,7,19,True,0.0
2011,11,0,0,True,0.0
2011,11,6,10,True,5.6
2011,11,7,13,True,5.3
2011,12,7,19,True,0.0
2011,12,0,0,True,0.0
2011,12,6,10,True,7.9
2011,12,7,13,True,0.8
2012,1,7,19,True,0.0
2012,1,0,0,True,0.0
2012,1,6,10,True,1.8
2012,1,7,13,True,0.0
2012,2,7,19,True,0.0
2012,2,0,0,True,0.0
2012,2,6,10,True,0.0
2012,2,7,13,True,0.1
2012,3,7,19,True,0.0
2012,3,0,0,True,0.0
2012,3,6,10,True,3.6
2012,3,7,13,True,0.1
2012,4,7,19,True,0.0
2012,4,0,0,True,0.0
2012,4,6,10,True,6.3
2012,4,7,13,True,0.0
2012,5,7,19,True,0.0
2012,5,0,0,True,0.0
2012,5,6,10,True,7.6
2012,5,7,13,True,3.4
2012,6,7,19,True,1.4
2012,6,0,0,True,0.0
2012,6,6,10,True,6.5
2012,6,7,13,True,6.1
2012,7,7,19,True,1.9
2012,7,0,0,True,0.0
2012,7,6,10,True,6.8
2012,7,7,13,True,7.2
2012,8,7,19,True,0.3
2012,8,0,0,True,0.0
2012,8,6,10,True,7.1
2012,8,7,13,True,2.9
2012,9,7,19,True,1.1
2012,9,0,0,True,0.0
2012,9,6,10,True,6.8
2012,9,7,13,True,12.1
2012,10,7,19,True,0.0
2012,10,0,0,True,0.0
2012,10,6,10,True,7.3
2012,10,7,13,True,11.7
2012,11,7,19,True,0.0
2012,11,0,0,True,0.1
2012,11,6,10,True,6.4
2012,11,7,13,True,10.6
2012,12,7,19,True,0.0
2012,12,0,0,True,0.0
2012,12,6,10,True,6.0
2012,12,7,13,True,1.9
2013,1,7,19,True,0.0
2013,1,0,0,True,0.0
2013,1,6,10,True,6.4
2013,1,7,13,True,0.0
2013,2,7,19,True,0.0
2013,2,0,0,True,0.0
2013,2,6,10,True,5.9
2013,2,7,13,True,0.0
2013,3,7,19,True,0.0
2013,3,0,0,True,0.0
2013,3,6,10,True,6.3
2013,3,7,13,True,0.0
2013,4,7,19,True,0.0
2013,4,0,0,True,0.0
2013,4,6,10,True,6.7
2013,4,7,13,True,0.0
2013,5,7,19,True,0.0
2013,5,0,0,True,0.0
2013,5,6,10,True,5.9
2013,5,7,13,True,5.7
2013,6,7,19,True,0.0
2013,6,0,0,True,0.0
2013,6,6,10,True,3.6
2013,6,7,13,True,11.7
2013,7,7,19,True,1.3
2013,7,0,0,True,0.0
2013,7,6,10,True,6.4
2013,7,7,13,True,11.7
2013,8,7,19,True,1.8
2013,8,0,0,True,0.0
2013,8,6,10,True,6.9
2013,8,7,13,True,6.6
2013,9,7,19,True,1.9
2013,9,0,0,True,0.0
2013,9,6,10,True,7.1
2013,9,7,13,True,7.7
2013,10,7,19,True,1.0
2013,10,0,0,True,0.0
2013,10,6,10,True,6.7
2013,10,7,13,True,7.3
2013,11,7,19,True,0.0
2013,11,0,0,True,0.0
