anio,mes,region,prov,EOLICO,energia_gen
2011,1,7,8,True,0.1
2011,1,8,3,True,0.0
2011,1,0,0,True,0.0
2011,2,7,8,True,0.6
2011,2,8,3,True,0.0
2011,2,0,0,True,0.0
2011,3,7,8,True,0.7
2011,3,8,3,True,0.0
2011,3,0,0,True,0.0
2011,4,7,8,True,0.7
2011,4,8,3,True,0.0
2011,4,0,0,True,0.0
2011,5,7,8,True,0.8
2011,5,8,3,True,0.0
2011,5,0,0,True,0.0
2011,6,7,8,True,1.2
2011,6,8,3,True,0.0
2011,6,0,0,True,0.0
2011,7,7,8,True,1.1
2011,7,8,3,True,0.0
2011,7,0,0,True,0.0
2011,8,7,8,True,0.4
2011,8,8,3,True,0.0
2011,8,0,0,True,0.0
2011,9,7,8,True,0.1
2011,9,8,3,True,0.9
2011,9,0,0,True,0.0
2011,10,7,8,True,0.1
2011,10,8,3,True,1.3
2011,10,0,0,True,0.0
2011,11,7,8,True,0.3
2011,11,8,3,True,2.2
2011,11,0,0,True,0.0
2011,12,7,8,True,0.6
2011,12,8,3,True,1.9
2011,12,0,0,True,0.0
2011,12,8,3,True,0.9
2011,12,8,3,True,1.8
2012,1,7,8,True,0.8
2012,1,8,3,True,2.0
2012,1,0,0,True,0.0
2012,1,8,3,True,12.1
2012,1,8,3,True,3.9
2012,2,7,8,True,1.4
2012,2,8,3,True,1.8
2012,2,0,0,True,0.0
2012,2,8,3,True,12.0
2012,2,8,3,True,7.4
2012,3,7,8,True,2.2
2012,3,8,3,True,2.1
2012,3,0,0,True,0.0
2012,3,8,3,True,12.4
2012,3,8,3,True,7.8
2012,4,7,8,True,2.5
2012,4,8,3,True,2.2
2012,4,0,0,True,0.0
2012,4,8,3,True,12.8
2012,4,8,3,True,7.9
2012,5,7,8,True,2.7
2012,5,8,3,True,2.7
2012,5,0,0,True,0.0
2012,5,8,3,True,15.3
2012,5,8,3,True,9.2
2012,6,7,8,True,2.8
2012,6,8,3,True,2.7
2012,6,0,0,True,0.0
2012,6,8,3,True,18.9
2012,6,8,3,True,11.1
2012,7,7,8,True,3.5
2012,7,8,3,True,3.0
2012,7,0,0,True,0.0
2012,7,8,3,True,20.4
2012,7,8,3,True,12.2
2012,8,7,8,True,3.6
2012,8,8,3,True,2.3
2012,8,0,0,True,0.0
2012,8,8,3,True,13.8
2012,8,8,3,True,8.6
2012,9,7,8,True,4.0
2012,9,8,3,True,2.3
2012,9,0,0,True,0.0
2012,9,8,3,True,14.4
2012,9,8,3,True,8.8
2012,10,7,8,True,5.9
2012,10,8,3,True,2.1
2012,10,0,0,True,0.0
2012,10,8,3,True,11.2
2012,10,8,3,True,6.8
2012,11,7,8,True,4.4
2012,11,8,3,True,2.3
2012,11,0,0,True,0.0
2012,11,8,3,True,15.4
2012,11,8,3,True,9.6
2012,12,7,8,True,4.4
2012,12,8,3,True,2.7
2012,12,0,0,True,0.0
2012,12,8,3,True,18.7
2012,12,8,3,True,11.2
2013,1,7,8,True,3.9
2013,1,8,3,True,2.1
2013,1,0,0,True,0.0
2013,1,8,3,True,14.3
2013,1,8,3,True,8.9
2013,2,7,8,True,3.7
2013,2,8,3,True,1.5
2013,2,0,0,True,0.0
2013,2,8,3,True,13.3
2013,2,8,3,True,8.3
2013,3,7,8,True,4.3
2013,3,8,3,True,1.7
2013,3,0,0,True,0.0
2013,3,8,3,True,15.5
2013,3,8,3,True,9.6
2013,4,7,8,True,2.8
2013,4,8,3,True,2.0
2013,4,0,0,True,0.0
2013,4,8,3,True,10.3
2013,4,8,3,True,6.5
2013,5,7,8,True,2.7
2013,5,8,3,True,2.2
2013,5,0,0,True,0.0
2013,5,8,3,True,15.5
2013,5,8,3,True,9.4
2013,6,7,8,True,2.5
2013,6,8,3,True,3.1
2013,6,0,0,True,0.0
2013,6,8,3,True,18.7
2013,6,8,3,True,10.8
2013,7,7,8,True,4.4
2013,7,8,3,True,2.5
2013,7,8,3,True,3.3
2013,7,0,0,True,0.0
2013,7,8,3,True,15.7
2013,7,8,3,True,9.4
2013,7,8,3,True,0.1
2013,8,7,8,True,5.9
2013,8,8,3,True,2.7
2013,8,8,3,True,11.6
2013,8,0,0,True,0.0
2013,8,8,3,True,19.2
2013,8,8,3,True,11.2
2013,8,8,3,True,0.2
2013,9,7,8,True,6.1
2013,9,8,3,True,1.5
