anio,mes,region,prov,HIDRO <=50MW,energia_gen
2011,1,8,3,True,13.8
2011,1,3,9,True,0.0
2011,1,7,19,True,0.6
2011,1,1,4,True,0.9
2011,1,3,9,True,5.4
2011,1,1,4,True,4.1
2011,1,1,4,True,0.0
2011,1,3,9,True,0.0
2011,1,3,14,True,2.1
2011,1,7,19,True,0.4
2011,1,3,9,True,5.9
2011,1,1,4,True,4.3
2011,1,7,6,True,3.7
2011,1,1,4,True,0.0
2011,1,7,18,True,1.0
2011,1,1,4,True,1.5
2011,1,3,9,True,10.3
2011,1,1,4,True,2.7
2011,1,7,19,True,5.7
2011,1,3,14,True,8.6
2011,1,1,4,True,3.3
2011,1,7,18,True,10.1
2011,1,7,6,True,0.0
2011,1,2,12,True,0.0
2011,1,5,17,True,0.0
2011,1,3,9,True,0.0
2011,1,1,4,True,4.3
2011,1,7,13,True,3.9
2011,1,3,14,True,21.5
2011,2,8,3,True,12.5
2011,2,3,9,True,0.0
2011,2,7,19,True,6.9
2011,2,1,4,True,0.8
2011,2,3,9,True,3.4
2011,2,1,4,True,7.0
2011,2,1,4,True,0.0
2011,2,3,9,True,0.0
2011,2,3,14,True,1.2
2011,2,7,19,True,5.9
2011,2,3,9,True,3.9
2011,2,1,4,True,7.1
2011,2,7,6,True,6.4
2011,2,1,4,True,0.0
2011,2,7,18,True,0.8
2011,2,1,4,True,0.9
2011,2,3,9,True,4.8
2011,2,1,4,True,3.9
2011,2,7,19,True,4.3
2011,2,3,14,True,6.8
2011,2,1,4,True,6.8
2011,2,7,18,True,10.6
2011,2,7,6,True,0.0
2011,2,2,12,True,0.0
2011,2,5,17,True,0.1
2011,2,3,9,True,0.0
2011,2,1,4,True,3.8
2011,2,7,13,True,6.0
2011,2,3,14,True,19.8
2011,3,8,3,True,11.7
2011,3,3,9,True,0.0
2011,3,7,19,True,8.1
2011,3,1,4,True,0.9
2011,3,3,9,True,4.9
2011,3,1,4,True,8.4
2011,3,1,4,True,0.0
2011,3,3,9,True,0.0
2011,3,3,14,True,1.0
2011,3,7,19,True,12.2
2011,3,3,9,True,3.4
2011,3,1,4,True,8.2
2011,3,7,6,True,10.1
2011,3,1,4,True,0.0
2011,3,7,18,True,1.3
2011,3,1,4,True,1.8
2011,3,3,9,True,6.4
2011,3,1,4,True,4.3
2011,3,7,19,True,9.4
2011,3,3,14,True,5.3
2011,3,1,4,True,8.8
2011,3,7,18,True,11.9
2011,3,7,6,True,0.0
2011,3,2,12,True,0.0
2011,3,5,17,True,0.0
2011,3,3,9,True,0.0
2011,3,1,4,True,4.3
2011,3,7,13,True,6.8
2011,3,3,14,True,12.4
2011,4,8,3,True,9.9
2011,4,3,9,True,0.0
2011,4,7,19,True,5.3
2011,4,1,4,True,0.8
2011,4,3,9,True,6.6
2011,4,1,4,True,6.0
2011,4,1,4,True,0.0
2011,4,3,9,True,2.0
2011,4,3,14,True,1.3
2011,4,7,19,True,12.0
2011,4,3,9,True,3.1
2011,4,1,4,True,6.1
2011,4,7,6,True,7.8
